15	10	E	-9769864.20597139	8
emissionprobs	9	2	H3K27me3	0	0.9998769913740584
emissionprobs	9	2	H3K27me3	1	1.230086259415732E-4
emissionprobs	9	3	H3K36me3	0	0.9929851893900224
emissionprobs	9	3	H3K36me3	1	0.007014810609977523
emissionprobs	9	4	H3K4me1	0	0.9996244966252811
emissionprobs	9	4	H3K4me1	1	3.75503374718862E-4
emissionprobs	9	5	H3K4me2	0	0.7648118478976959
emissionprobs	9	5	H3K4me2	1	0.23518815210230415
emissionprobs	9	6	H3K4me3	0	0.21753619284966166
emissionprobs	9	6	H3K4me3	1	0.7824638071503384
emissionprobs	9	7	H3K79me2	0	0.8963743987036091
emissionprobs	9	7	H3K79me2	1	0.1036256012963909
emissionprobs	9	8	H3K9ac	0	0.26681220739194095
emissionprobs	9	8	H3K9ac	1	0.733187792608059
emissionprobs	9	9	H3K9me3	0	0.9896835688540315
emissionprobs	9	9	H3K9me3	1	0.01031643114596852
emissionprobs	10	0	H2A.Z	0	0.7604833131788138
emissionprobs	10	0	H2A.Z	1	0.23951668682118618
emissionprobs	10	1	H3K27ac	0	0.08340777854417203
emissionprobs	10	1	H3K27ac	1	0.916592221455828
emissionprobs	10	2	H3K27me3	0	0.9994189566228954
emissionprobs	10	2	H3K27me3	1	5.810433771045876E-4
emissionprobs	10	3	H3K36me3	0	0.8138460428340684
emissionprobs	10	3	H3K36me3	1	0.1861539571659317
emissionprobs	10	4	H3K4me1	0	0.4035872512654818
emissionprobs	10	4	H3K4me1	1	0.5964127487345182
emissionprobs	10	5	H3K4me2	0	0.009685431964843215
emissionprobs	10	5	H3K4me2	1	0.9903145680351568
emissionprobs	10	6	H3K4me3	0	0.08604697320447814
emissionprobs	10	6	H3K4me3	1	0.9139530267955218
emissionprobs	10	7	H3K79me2	0	0.0284128625204212
emissionprobs	10	7	H3K79me2	1	0.9715871374795788
emissionprobs	10	8	H3K9ac	0	0.036163639793032075
emissionprobs	10	8	H3K9ac	1	0.963836360206968
emissionprobs	10	9	H3K9me3	0	0.9952266809190857
emissionprobs	10	9	H3K9me3	1	0.004773319080914228
emissionprobs	11	0	H2A.Z	0	0.4764627611200622
emissionprobs	11	0	H2A.Z	1	0.5235372388799377
emissionprobs	11	1	H3K27ac	0	0.9161932271620911
emissionprobs	11	1	H3K27ac	1	0.083806772837909
emissionprobs	11	2	H3K27me3	0	0.6642460336294074
emissionprobs	11	2	H3K27me3	1	0.33575396637059257
emissionprobs	11	3	H3K36me3	0	0.9962885268677206
emissionprobs	11	3	H3K36me3	1	0.003711473132279454
emissionprobs	11	4	H3K4me1	0	0.7698584497810074
emissionprobs	11	4	H3K4me1	1	0.23014155021899266
emissionprobs	11	5	H3K4me2	0	0.13332839158853185
emissionprobs	11	5	H3K4me2	1	0.8666716084114681
emissionprobs	11	6	H3K4me3	0	0.4947605149146621
emissionprobs	11	6	H3K4me3	1	0.5052394850853379
emissionprobs	11	7	H3K79me2	0	0.9973018937849674
emissionprobs	11	7	H3K79me2	1	0.0026981062150325807
emissionprobs	11	8	H3K9ac	0	0.9377570986257909
emissionprobs	11	8	H3K9ac	1	0.06224290137420901
emissionprobs	11	9	H3K9me3	0	0.9697731537675169
emissionprobs	11	9	H3K9me3	1	0.030226846232483034
emissionprobs	12	0	H2A.Z	0	0.16388613716627037
emissionprobs	12	0	H2A.Z	1	0.8361138628337297
emissionprobs	12	1	H3K27ac	0	0.9843109509323623
emissionprobs	12	1	H3K27ac	1	0.01568904906763769
emissionprobs	12	2	H3K27me3	0	0.9847005180862497
emissionprobs	12	2	H3K27me3	1	0.015299481913750235
emissionprobs	12	3	H3K36me3	0	0.996800377204701
emissionprobs	12	3	H3K36me3	1	0.0031996227952989366
emissionprobs	12	4	H3K4me1	0	0.7344657375105152
emissionprobs	12	4	H3K4me1	1	0.2655342624894848
emissionprobs	12	5	H3K4me2	0	0.8661518849394598
emissionprobs	12	5	H3K4me2	1	0.13384811506054026
emissionprobs	12	6	H3K4me3	0	0.9861463104759989
emissionprobs	12	6	H3K4me3	1	0.013853689524001206
emissionprobs	12	7	H3K79me2	0	0.9999654434722884
emissionprobs	12	7	H3K79me2	1	3.4556527711525125E-5
emissionprobs	12	8	H3K9ac	0	0.9819820429322216
emissionprobs	12	8	H3K9ac	1	0.01801795706777848
emissionprobs	12	9	H3K9me3	0	0.9746740598423727
emissionprobs	12	9	H3K9me3	1	0.02532594015762742
emissionprobs	13	0	H2A.Z	0	0.9950293725241425
emissionprobs	13	0	H2A.Z	1	0.00497062747585753
emissionprobs	13	1	H3K27ac	0	0.9999049803617799
emissionprobs	13	1	H3K27ac	1	9.501963822014299E-5
emissionprobs	13	2	H3K27me3	0	0.9953607896090302
emissionprobs	13	2	H3K27me3	1	0.004639210390969731
emissionprobs	13	3	H3K36me3	0	0.9990043567642237
emissionprobs	13	3	H3K36me3	1	9.956432357761942E-4
emissionprobs	13	4	H3K4me1	0	0.9984370297918359
emissionprobs	13	4	H3K4me1	1	0.0015629702081639987
emissionprobs	13	5	H3K4me2	0	0.9998564723981043
emissionprobs	13	5	H3K4me2	1	1.4352760189584744E-4
emissionprobs	13	6	H3K4me3	0	0.9999807557006002
emissionprobs	13	6	H3K4me3	1	1.924429939980961E-5
emissionprobs	13	7	H3K79me2	0	0.9997156393040365
emissionprobs	13	7	H3K79me2	1	2.843606959634651E-4
emissionprobs	13	8	H3K9ac	0	0.9999626601867138
emissionprobs	13	8	H3K9ac	1	3.733981328614784E-5
emissionprobs	13	9	H3K9me3	0	0.991159153061559
emissionprobs	13	9	H3K9me3	1	0.008840846938441007
emissionprobs	14	0	H2A.Z	0	0.9905201842221162
emissionprobs	14	0	H2A.Z	1	0.00947981577788382
emissionprobs	14	1	H3K27ac	0	0.9997635458278746
emissionprobs	14	1	H3K27ac	1	2.3645417212534426E-4
emissionprobs	14	2	H3K27me3	0	0.993129093354914
emissionprobs	14	2	H3K27me3	1	0.006870906645086153
emissionprobs	14	3	H3K36me3	0	0.9213696084324006
